lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
ugust,ADP,87,30,31,30,31
antike,ADP,119,30,36,31,37
tabular,DET,161,30,32,32,35
bicolor,ADP,72,30,33,28,31
iquor,ADP,88,30,30,28,29
argentatus,ADP,244,29,34,44,50
shatter,ADP,256,29,30,52,53
burnt,PRON,93,29,29,32,32
forbye,ADP,153,29,29,36,36
thallium,DET,325,29,52,72,99
newness,CONJ,355,29,30,58,61
ische,ADP,190,29,33,40,44
ilson,ADP,210,29,30,36,38
oregonus,CONJ,127,29,41,33,43
attern,ADP,106,29,29,38,39
proto,PRT,60,29,29,26,26
exchan,ADP,167,29,30,40,41
attachments,ADP,292,29,29,75,76
thuya,DET,65,29,29,28,28
bership,ADP,160,29,52,43,52
ftlr,ADP,312,29,43,64,82
becos,ADP,150,29,31,37,41
skein,ADP,410,28,30,59,61
forficatus,ADP,168,28,34,42,47
zweiter,ADP,112,28,32,32,37
igan,ADP,92,28,33,30,34
thioindigo,DET,184,28,55,36,65
alumnus,ADP,215,28,35,43,49
allthough,DET,156,28,28,36,36
administratif,ADP,216,28,50,49,63
onepiece,ADP,171,28,88,52,84
antiquated,CONJ,56,28,29,25,26
hoop,PRT,124,28,30,40,43
contour,PRON,207,28,62,51,73
durthe,DET,72,28,28,27,27
almanac,DET,105,28,29,33,35
nodosus,ADP,254,28,32,45,49
oficer,ADP,119,28,28,31,31
luxe,ADP,107,27,40,30,37
integrifolia,ADP,89,27,28,29,30
incanus,ADP,91,27,29,26,28
ambiguus,ADP,94,27,35,28,35
graciousness,CONJ,90,27,29,26,28
aftr,ADP,95,27,28,34,34
sliver,ADP,180,27,39,56,66
insertin,ADP,171,27,28,38,39
anya,DET,328,27,28,65,69
althoug,ADP,56,27,27,26,26
hoff,PRT,127,27,28,34,36
insur,ADP,465,27,27,49,49
into,PRT,62,27,27,25,26
andinus,CONJ,238,27,54,48,62
pelf,PRON,68,27,27,29,30
ter,DET,211,27,27,39,39
assumin,ADP,57,27,27,25,26
onehalf,DET,210,27,42,44,50
q,DET,487,27,27,90,91
trimethyl,DET,127,27,55,37,55
petitioner,DET,347,26,39,87,93
oaquin,ADP,60,26,28,23,28
aterial,ADP,140,26,31,33,37
alcove,DET,98,26,30,32,35
itle,ADP,137,26,27,37,37
overhand,CONJ,201,26,33,36,48
