lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
americanus,ADP,1903,436,448,486,495
withwithwithwith,ADP,1902,0,7,43,445
ofvarious,ADP,1894,7,7,84,85
inbound,ADP,1865,84,283,324,440
fuer,ADP,1862,40,45,195,214
beliefin,ADP,1859,15,15,93,94
shit,CONJ,1858,1,2,136,174
outcrop,PRT,1858,310,396,448,518
torpedo,DET,1830,333,380,442,484
femur,ADP,1807,151,174,329,352
withwith,ADP,1763,9,9,71,72
atrophy,ADP,1744,92,110,253,277
bybybyby,ADP,1736,0,18,39,531
testis,PRON,1723,64,85,412,441
instn,ADP,1720,4,6,103,127
subband,CONJ,1714,0,175,169,458
startup,ADP,1700,0,93,210,409
additive,DET,1698,1,41,266,429
followup,ADP,1690,5,16,220,270
medroxyprogesterone,PRON,1676,0,756,272,693
andlor,CONJ,1671,10,25,261,311
wirst,ADP,1661,9,11,37,42
itelocke,PRON,1651,0,0,38,117
besef,ADP,1644,0,4,52,95
ofloxacin,ADP,1609,0,1132,197,806
benzoyl,ADP,1604,357,410,536,647
ofwhite,ADP,1604,4,5,59,66
tsp,ADP,1602,3,20,182,237
neurokinin,ADP,1586,0,56,129,398
alpaca,DET,1581,306,345,387,420
bootstrap,DET,1574,0,119,198,428
ofwhere,ADP,1571,1,1,54,66
sdc,ADP,1570,0,79,78,500
optimum,PRT,1548,11,157,352,481
cyclin,ADP,1545,0,77,141,508
thatthatthatthat,DET,1541,0,3,34,436
wantto,PRT,1534,30,32,108,112
anubhava,DET,1532,10,18,92,119
anode,DET,1529,67,563,396,534
typedef,ADP,1525,0,695,137,633
lce,ADP,1517,67,80,263,283
lndex,ADP,1513,0,14,76,150
thiotepa,DET,1510,0,749,230,608
avg,ADP,1504,5,6,195,208
overview,ADP,1503,0,75,114,292
hallux,DET,1501,60,94,197,244
bestseller,ADP,1481,0,57,127,274
svcs,ADP,1480,0,120,100,386
percentin,ADP,1479,4,19,90,140
iodin,ADP,1473,9,13,157,184
nephron,ADP,1472,0,158,189,401
ullamcorper,ADP,1468,0,277,32,472
bdg,ADP,1455,3,7,129,168
accelerometer,ADP,1451,3,230,304,534
immunoglobulin,ADP,1440,0,149,213,460
olanzapine,PRON,1429,0,33,107,484
volutpat,CONJ,1427,0,220,28,507
newsstand,CONJ,1416,21,219,221,344
rapper,ADP,1416,8,9,133,145
accomplice,DET,1415,96,106,259,280
ofstatefor,ADP,1406,0,3,42,99
forebrain,ADP,1398,8,30,201,297
bedside,ADP,1393,112,180,209,245
persistence,ADP,1368,56,73,212,267
mc,CONJ,1367,19,27,157,179
oxytocin,CONJ,1364,0,173,181,335
blender,ADP,1359,7,12,240,309
ujamaa,DET,1354,0,208,106,354
vivo,PRON,1350,14,45,262,379
thumbnail,DET,1349,1,53,112,194
gangland,CONJ,1341,1,75,163,252
iyang,ADP,1336,0,5,16,51
throughput,PRON,1332,0,221,203,435
wieder,ADP,1332,28,31,82,90
instream,ADP,1311,0,11,160,299
derfor,ADP,1310,1,2,18,23
botulinus,CONJ,1302,7,20,57,96
ofjob,ADP,1298,0,4,58,104
meinem,PRON,1297,21,23,51,55
personhood,CONJ,1285,0,110,104,305
algebra,ADP,1278,54,54,253,256
actoss,ADP,1276,3,3,47,48
ofbehavior,ADP,1264,0,25,53,148
meropenem,PRON,1262,0,312,81,465
thisthisthisthis,DET,1261,0,2,28,358
anaphora,DET,1259,5,8,164,207
natn,ADP,1259,0,1,130,163
mula,DET,1256,0,2,17,25
ofsocial,ADP,1246,0,1,52,75
sbin,ADP,1244,0,0,80,184
lcon,ADP,1244,1,1,43,55
sez,ADP,1244,29,33,62,71
forforforforfor,ADP,1241,0,17,29,281
nonfall,DET,1234,0,6,43,322
forjust,ADP,1233,4,5,53,62
thionyl,DET,1230,151,355,296,435
iterator,PRON,1225,0,3,78,156
prolactin,CONJ,1225,0,133,179,342
methadone,PRON,1224,0,367,129,321
zoey,PRON,1222,0,103,42,309
influenzae,ADP,1217,6,97,218,381
lut,DET,1214,1,1,16,18
leftover,PRT,1213,2,55,128,194
fundus,ADP,1210,68,71,175,184
abn,ADP,1205,8,9,55,57
throughfall,DET,1199,0,148,142,316
usedfor,ADP,1185,28,28,82,82
ifwe,ADP,1184,7,8,53,54
abortus,ADP,1183,33,502,318,452
theytheytheythey,PRON,1179,0,1,26,381
lowstand,CONJ,1160,0,12,91,218
min,CONJ,1158,16,19,95,102
tryingto,PRT,1158,28,34,93,97
thermophila,DET,1156,8,25,154,220
bgp,ADP,1152,0,80,76,395
indicus,ADP,1146,127,137,277,282
alang,ADP,1142,21,22,37,37
ofloss,ADP,1138,6,6,51,52
motif,ADP,1137,19,33,172,196
pucca,DET,1132,50,75,218,257
anderen,CONJ,1130,37,43,83,90
ricevuto,ADP,1129,0,10,75,148
antivirus,CONJ,1128,0,11,100,196
ofmost,ADP,1122,7,7,56,56
rea,PRON,1121,49,69,172,206
alongwith,DET,1120,1,2,154,195
analysand,CONJ,1115,0,96,112,253
alebo,DET,1114,0,2,12,35
sinh,ADP,1112,39,57,81,100
diag,ADP,1112,0,86,109,210
butbutbutbut,CONJ,1109,0,2,24,357
threonine,PRON,1102,1,441,261,440
ahead,PRT,1102,109,118,235,253
inhibin,ADP,1101,0,11,102,260
positron,ADP,1090,0,145,162,297
boll,DET,1082,206,286,304,325
halfofthe,DET,1081,6,6,71,72
indepth,ADP,1078,0,55,184,372
optics,CONJ,1071,6,13,156,226
deuteron,ADP,1070,0,116,105,208
betwn,ADP,1061,4,6,72,84
percentile,ADP,1050,4,146,197,318
ofmajor,ADP,1043,2,2,49,56
wingspan,ADP,1037,0,107,125,277
penicillin,PRT,1036,0,379,170,334
iteration,ADP,1031,3,5,151,203
hvor,CONJ,1030,2,4,15,20
horseback,PRT,1030,68,95,156,192
opn,PRT,1008,0,2,37,73
annot,CONJ,1002,4,4,86,89
ofjuvenile,ADP,1001,10,10,71,74
aureus,CONJ,1000,52,66,144,161
itemset,PRON,992,0,353,63,359
slo,DET,981,11,11,25,25
ofpain,ADP,980,1,1,34,40
lup,ADP,980,6,6,31,32
aerodrome,DET,976,47,391,265,379
apartfrom,ADP,971,6,7,40,46
aero,DET,967,156,277,227,256
isbasedon,ADP,967,0,2,23,66
somatotropin,ADP,965,0,228,82,251
liaise,ADP,964,2,3,137,167
subcommand,CONJ,963,0,98,59,179
thrombosis,ADP,962,15,29,99,143
lvan,ADP,960,12,14,134,152
thethethe,DET,959,0,189,35,252
absinthe,DET,958,104,118,162,189
adventuresome,DET,957,77,96,224,242
onsite,ADP,954,0,146,166,342
oftype,ADP,954,0,6,48,87
thermodynamic,PRON,953,12,34,143,190
ifthere,PRON,951,7,7,45,45
vasopressor,ADP,950,0,146,114,228
nodosa,DET,949,70,72,213,218
meriem,PRON,945,0,17,41,81
youyou,PRON,942,8,9,40,41
passband,CONJ,941,0,373,164,366
inyo,ADP,938,1,4,15,26
java,DET,936,5,8,79,107
ofvitamin,ADP,934,0,21,39,92
thailand,CONJ,931,0,69,66,160
thesauri,PRON,931,1,2,83,105
betatron,ADP,929,0,314,150,312
menarche,DET,929,0,227,161,347
withwithwithwithwith,ADP,925,0,13,21,237
agmt,DET,922,0,1,44,101
quartile,ADP,921,1,78,112,192
temporomandibular,ADP,914,0,116,133,268
lccn,ADP,914,0,1,10,37
sniff,PRON,913,28,35,94,108
amplify,ADP,910,39,45,150,152
responsibilityfor,ADP,909,1,3,29,40
pero,ADP,909,15,16,56,58
ew,PRT,908,133,134,169,172
odpovedal,ADP,895,0,895,8,619
sah,ADP,893,38,39,71,73
tomto,PRT,893,2,4,13,17
armistice,DET,892,14,164,212,236
allemande,DET,888,22,30,77,99
isosorbide,PRON,887,0,203,104,276
authorship,DET,886,33,34,119,123
aquella,DET,879,39,40,77,78
aaaaa,DET,878,1,2,24,34
btwn,CONJ,875,0,10,20,87
methylene,PRON,875,276,370,285,348
allyl,DET,871,64,111,219,276
neutrino,CONJ,867,0,116,112,250
bola,DET,866,20,21,50,52
winemaker,ADP,865,0,24,64,184
northeastern,DET,865,64,133,202,263
andalusite,DET,864,176,211,252,268
ackn,ADP,856,0,5,21,53
fz,ADP,856,26,27,79,83
andersoni,CONJ,854,124,338,222,312
ultrastructure,ADP,853,0,18,25,82
ofgender,ADP,852,0,12,36,124
lear,CONJ,851,33,33,142,144
decipher,ADP,849,32,32,103,103
intercarrier,ADP,849,0,115,75,164
arsenide,ADP,848,0,66,99,196
phono,ADP,847,8,78,128,182
lim,PRON,845,3,4,32,34
pwr,ADP,841,2,3,60,74
nonfood,CONJ,837,2,156,135,253
aforesd,ADP,837,12,15,54,64
uranium,PRON,834,29,44,161,182
hahaha,DET,832,0,15,27,55
wavelength,PRON,830,2,85,148,246
hooky,PRT,826,14,38,77,122
atriopeptin,ADP,822,0,57,32,164
ignition,ADP,821,125,175,225,250
ovale,ADP,821,20,22,95,100
antennae,DET,820,276,279,267,270
betuixt,ADP,819,73,74,129,129
dhe,ADP,819,6,6,16,17
antimatter,CONJ,818,0,285,112,285
optimizer,ADP,816,0,264,82,282
ahl,ADP,812,13,14,86,100
fordi,ADP,808,2,5,13,16
verso,DET,805,105,108,182,188
browse,ADP,804,13,14,111,115
freehand,ADP,803,202,218,202,232
limewash,ADP,800,0,0,18,36
avlede,ADP,799,0,799,7,564
bossa,DET,796,0,126,84,259
ifconfig,ADP,796,0,210,61,331
isotope,ADP,794,0,108,104,194
intrayear,ADP,793,0,5,23,62
albacore,DET,793,11,23,152,195
antineutrino,DET,793,0,132,70,184
zidovudine,PRON,791,0,161,83,285
xviii,CONJ,788,48,54,111,120
bullshit,CONJ,788,0,60,57,168
ofmultiple,ADP,786,0,1,33,67
youve,PRON,784,37,42,149,156
homem,PRON,776,1,4,15,21
stearothermophilus,ADP,776,0,257,104,247
fueron,ADP,775,9,10,41,42
acrosome,DET,772,2,68,119,217
ook,PRT,769,20,20,44,44
asmx,ADP,766,0,34,26,200
telnet,DET,765,0,20,49,168
pw,ADP,765,4,5,32,35
lnn,ADP,765,3,3,61,65
linguistics,ADP,763,2,5,117,165
iblandt,ADP,763,0,0,8,82
ononononon,ADP,761,0,14,18,197
mantra,DET,760,3,5,80,106
noncredit,PRON,759,1,74,71,127
theythey,PRON,759,0,0,16,39
emf,ADP,758,20,25,180,188
dazu,ADP,755,15,19,47,55
bln,ADP,751,1,2,53,69
identif,ADP,749,19,21,111,122
argv,ADP,747,0,176,54,210
unlock,PRT,746,14,15,76,78
formosanus,ADP,745,35,97,111,175
bevacizumab,ADP,744,0,446,31,405
internuclear,ADP,742,2,146,165,267
pbk,ADP,742,0,15,41,125
allallallall,DET,741,0,1,17,206
tuberculin,ADP,741,158,247,174,254
intranuclear,ADP,739,41,71,146,220
ofpast,ADP,738,3,3,34,36
vostro,ADP,738,7,7,22,23
iee,PRON,738,5,8,108,140
fran,ADP,737,10,12,63,68
ampersand,CONJ,737,0,8,35,67
hierdie,DET,736,0,28,36,80
tae,ADP,735,22,22,74,78
tablespoon,DET,735,9,47,99,167
tahsil,DET,734,22,41,88,125
bwr,ADP,733,1,1,44,52
wiwth,ADP,732,0,2,18,38
trichome,DET,730,8,41,116,173
sumala,DET,729,0,0,8,234
autophagosome,DET,727,0,5,25,102
lnf,ADP,725,7,9,85,103
becuz,ADP,725,45,72,68,94
anorthite,DET,725,129,162,188,232
pairwise,ADP,724,0,119,95,199
ninyo,ADP,724,0,2,8,27
login,ADP,721,0,2,65,122
highincome,DET,720,0,109,98,200
vitamin,ADP,720,1,322,162,270
tohoto,PRT,720,0,1,8,19
ofbody,ADP,719,1,1,32,43
jemand,CONJ,718,4,6,20,24
actomyosin,ADP,717,0,248,120,235
pushbutton,ADP,717,5,123,138,230
kafir,ADP,717,35,48,84,114
align,PRT,715,2,6,52,82
lln,ADP,715,90,90,154,155
diphenyl,DET,712,63,226,181,266
incolumn,ADP,711,1,4,21,32
oforigin,ADP,711,3,5,46,56
mesonotum,PRON,711,73,202,161,217
trypanosome,DET,711,48,154,123,213
mauza,DET,710,61,96,102,148
titania,DET,710,1,172,104,196
upend,CONJ,709,6,7,43,49
ofmass,ADP,707,0,14,30,74
ako,ADP,707,10,10,21,21
beetles,ADP,706,113,117,144,147
attosecond,ADP,702,0,17,46,221
pili,PRT,702,19,21,81,87
insuran,ADP,700,60,102,117,127
magnet,DET,699,61,82,140,153
youyouyouyouyou,PRON,699,0,7,16,178
vibe,ADP,698,2,2,33,40
quinine,PRON,696,165,176,223,246
nicotine,PRON,694,84,106,142,164
waterproof,ADP,694,206,228,227,246
hacienda,DET,693,37,52,142,155
histolytica,DET,692,13,131,111,210
anhedonia,DET,690,0,4,54,106
legit,PRON,688,6,6,42,44
microstrategy,PRON,686,0,29,17,136
ifdef,ADP,685,0,396,69,294
ofofof,ADP,684,0,223,31,225
tohelp,PRT,683,15,16,44,45
ujith,ADP,681,2,11,70,102
formn,ADP,680,4,8,64,74
sinun,ADP,679,0,0,8,66
thermit,PRON,678,23,35,85,108
folder,ADP,676,13,40,59,98
bytes,ADP,676,0,128,77,212
ferrosilicon,ADP,674,85,189,126,197
formulas,ADP,674,49,54,122,135
lndependence,ADP,673,0,3,30,65
laat,ADP,672,25,26,47,49
apo,DET,671,2,2,79,87
bestknown,ADP,668,82,104,144,165
dtd,ADP,665,1,1,53,68
alkyd,ADP,665,0,251,128,277
singleton,ADP,664,1,5,69,101
habanero,DET,661,0,2,44,112
polarization,PRT,661,13,15,151,169
ligule,ADP,661,149,169,174,190
sizeof,ADP,660,6,7,65,69
annexin,ADP,660,0,0,62,103
forges,ADP,659,58,58,119,120
thapsigargin,ADP,658,0,265,59,272
ofhumor,ADP,658,0,2,25,37
inverse,PRON,658,2,5,102,132
garlic,DET,658,0,32,64,144
lter,ADP,657,30,31,58,58
acidophilus,ADP,656,15,219,132,242
elytra,DET,650,263,272,222,229
transformer,ADP,606,251,370,210,316
miscellaneous,PRON,347,178,183,164,170
frontispiece,ADP,607,170,170,156,159
stigmas,ADP,451,162,163,174,176
unicolor,ADP,347,157,182,130,142
iodine,PRON,319,153,157,137,144
artesian,DET,527,143,160,156,179
sawdust,ADP,364,143,162,150,160
blackboard,ADP,547,142,154,136,168
uncut,ADP,378,142,144,136,138
beater,ADP,366,131,138,118,122
orthern,CONJ,319,125,125,125,125
angulatus,CONJ,479,114,123,119,136
angustata,DET,232,110,112,95,98
nebulosus,CONJ,547,109,119,147,157
tourmaline,PRON,238,101,102,93,94
orderliness,CONJ,333,99,131,105,132
attenuata,ADP,302,98,110,93,105
invar,ADP,620,98,113,136,140
thereto,PRON,363,97,97,107,107
asphalt,DET,225,95,122,82,105
autrefois,DET,328,95,96,108,110
spore,ADP,405,89,106,117,145
aliunde,ADP,556,88,89,128,130
theoretically,DET,495,87,103,135,154
angioma,DET,339,87,119,85,121
noticeably,ADP,465,86,128,119,163
inornatus,ADP,290,86,101,82,103
befell,ADP,246,86,86,93,93
tomo,PRT,530,85,87,115,116
appellees,DET,305,83,106,89,117
colorless,CONJ,194,82,91,70,81
foramina,ADP,348,81,88,95,97
metasternum,PRON,247,80,110,81,104
lucifer,ADP,201,79,92,80,89
annulatus,CONJ,304,79,93,82,88
metanotum,PRON,480,79,126,98,135
whitefish,DET,495,75,88,109,131
tibiae,PRT,275,74,105,81,101
radius,PRT,653,73,75,169,174
longhand,CONJ,250,72,88,88,100
outdoors,PRT,421,72,98,84,115
andard,CONJ,490,72,77,101,110
innere,ADP,337,72,95,96,109
starter,ADP,346,72,125,82,117
boro,DET,557,70,72,139,140
thaler,DET,250,70,73,73,77
subgenus,CONJ,606,69,82,152,167
resourcefulness,CONJ,209,69,114,64,100
nichrome,DET,606,69,238,155,235
sleeplessness,CONJ,400,68,78,90,97
availa,DET,481,67,74,124,130
undulatus,ADP,181,67,74,61,72
dredge,PRT,435,64,106,107,127
piecework,PRT,270,64,94,72,87
africana,DET,420,64,71,119,125
afther,DET,351,64,73,91,101
lefthand,CONJ,274,63,68,88,90
intergrown,ADP,241,63,106,80,112
naphthol,DET,159,62,80,55,79
allsoe,DET,263,61,64,66,67
delicto,ADP,256,60,62,73,75
adnexa,DET,450,60,88,90,131
ocellus,ADP,262,59,70,68,77
arctica,ADP,225,59,73,73,75
opper,ADP,267,58,59,59,61
ichigan,ADP,157,57,65,54,60
armatus,ADP,206,57,68,66,74
threephase,ADP,305,57,90,63,105
ascus,ADP,287,56,75,77,102
allel,DET,203,56,57,66,67
xvn,ADP,256,55,57,61,64
firstclass,ADP,259,55,63,62,72
restlessness,CONJ,248,55,55,65,66
italicum,PRON,250,55,56,78,79
pendin,ADP,138,55,57,54,56
allegro,DET,379,55,56,112,113
atrata,ADP,117,55,59,47,50
allover,DET,363,54,55,86,87
paprika,CONJ,648,54,82,79,129
outen,ADP,222,54,60,51,60
interrupter,ADP,226,54,76,63,79
singlephase,ADP,215,54,93,56,95
periodical,ADP,535,53,55,118,123
involvin,ADP,240,53,56,73,76
arachis,DET,237,53,70,71,86
systeme,DET,470,53,55,105,109
pepsin,CONJ,139,53,66,50,65
angulosa,DET,185,52,56,51,54
threadlike,ADP,202,52,66,66,75
andesite,DET,207,52,80,61,88
andp,CONJ,210,52,52,59,60
angustus,CONJ,368,51,57,83,86
amin,ADP,269,51,52,75,76
oneself,ADP,595,51,60,113,125
perton,ADP,188,51,53,48,51
bouillon,ADP,228,51,55,59,66
illusory,PRON,341,51,51,88,89
thinker,ADP,418,51,60,72,82
saws,ADP,117,51,51,54,54
sorted,CONJ,159,51,55,47,53
onio,ADP,217,50,53,64,64
invalid,PRT,189,50,69,61,68
anticus,ADP,136,50,50,53,54
anomala,DET,286,50,58,56,60
theah,DET,310,50,54,56,60
notatus,ADP,180,49,55,49,58
twoyear,ADP,374,49,54,96,101
booklet,ADP,228,49,116,67,110
alx,ADP,268,49,53,65,67
peneplain,ADP,251,49,104,65,105
formicarius,ADP,342,49,50,60,66
regardin,ADP,166,48,49,57,57
profor,ADP,126,48,48,50,51
oommon,ADP,88,48,49,41,41
uptown,ADP,317,48,69,64,87
ez,ADP,410,48,51,82,89
ladybird,ADP,204,48,57,49,65
protozoa,DET,370,48,91,101,148
subthe,DET,84,48,48,44,45
incidentally,ADP,110,47,48,42,42
hirta,DET,131,47,48,49,50
demur,ADP,96,47,50,39,41
apiculata,DET,197,47,63,55,67
heem,PRON,541,47,49,87,90
ifornia,ADP,642,47,56,111,131
mesosternum,PRON,132,47,59,47,57
italics,ADP,398,47,49,84,86
throo,DET,429,47,49,61,68
accumulative,PRON,115,46,48,43,45
openin,ADP,215,46,47,55,56
ansas,CONJ,147,46,52,41,50
