lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
operat,PRON,415,110,110,122,123
yeou,PRON,414,32,41,54,61
thejudge,PRON,414,12,14,36,36
rst,ADP,411,7,8,20,22
nonservice,ADP,411,0,1,9,36
appendb,DET,408,0,8,23,106
excludedfrom,ADP,406,0,1,24,29
aristophanes,ADP,405,8,8,20,21
arresto,DET,405,55,90,77,101
ontwn,ADP,404,0,14,15,111
igth,ADP,403,39,39,56,56
yonrself,PRON,401,10,10,25,25
beoause,ADP,398,149,149,144,145
intraspecif,ADP,395,0,11,31,84
inmme,ADP,395,0,110,15,131
oflicio,ADP,394,72,77,92,97
homey,PRON,393,5,5,35,35
frcn,ADP,393,13,14,63,64
ilie,PRON,392,2,2,11,12
togetherto,PRT,390,8,9,36,37
asignor,ADP,390,12,29,33,46
nana,DET,386,37,38,61,63
becamo,ADP,384,40,40,81,82
ofwhose,ADP,384,6,6,19,20
oxidn,ADP,381,0,34,24,90
ofits,ADP,380,7,7,24,25
knobby,ADP,380,43,43,78,79
ththe,DET,380,18,18,31,32
behemoth,ADP,378,3,4,39,42
intaglio,DET,377,107,111,122,126
switterland,CONJ,374,0,1,8,45
postureland,CONJ,374,0,374,8,208
das,ADP,374,21,23,34,38
proteus,ADP,374,87,128,101,123
asslgnor,ADP,369,7,22,50,67
forevermore,ADP,368,75,76,91,93
aviv,ADP,364,1,1,21,24
interdif,ADP,364,0,8,21,61
areasin,ADP,363,10,27,63,84
altemate,DET,359,2,3,38,47
ofhard,ADP,358,4,4,21,22
thasha,DET,357,0,1,8,66
aerea,DET,354,17,17,30,30
en,ADP,353,7,7,50,50
thickness,DET,351,78,78,110,110
ptn,ADP,348,3,3,42,47
lexcept,ADP,347,2,3,12,16
seith,ADP,347,24,24,35,36
atty,ADP,347,11,13,41,44
inismf,ADP,347,0,193,11,163
achatinella,DET,347,1,3,15,21
mein,CONJ,347,10,10,21,21
beyong,ADP,346,39,40,65,66
oscillation,ADP,344,21,26,82,90
lndustry,ADP,343,0,11,40,84
abl,ADP,342,23,23,56,57
peregrinus,ADP,342,46,47,78,79
interlinear,ADP,341,42,44,81,84
onset,DET,341,4,6,45,50
thakha,DET,341,0,1,10,41
ha,ADP,340,8,9,56,60
notaulus,ADP,339,0,39,22,66
eterat,ADP,339,0,33,18,76
offalse,ADP,338,3,3,19,19
ers,CONJ,338,27,34,39,40
medulla,PRON,334,34,36,65,69
underas,ADP,334,0,0,8,20
ofthy,ADP,333,9,10,20,21
besan,ADP,332,6,6,33,33
herselfa,DET,331,3,4,14,16
aoross,ADP,331,46,49,52,55
acuminata,DET,330,40,42,71,74
ios,ADP,329,114,115,113,114
hij,PRT,327,6,6,9,9
wurden,PRT,325,6,6,21,23
