lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
occult,ADP,863,39,40,126,129
becamo,ADP,384,40,40,81,82
beyong,ADP,346,39,40,65,66
undtr,ADP,101,40,40,41,41
winfx,ADP,80,0,40,1,37
youristeventhough,PRON,47,0,40,1,29
ofhospitalswereenumeratedinthe,ADP,70,0,40,2,42
igth,ADP,403,39,39,56,56
alloy,ADP,314,36,39,79,80
thoreof,ADP,117,35,39,38,39
abschlussbencht,DET,89,0,39,2,41
withtransfer,ADP,72,0,39,4,41
westship,PRON,55,0,39,3,33
spartofthe,DET,39,0,39,0,32
besuretoprint,ADP,47,0,39,1,29
underarticlethedistributedtermsof,ADP,39,0,39,0,32
stereospecif,ADP,437,0,38,31,112
brevet,PRT,161,38,38,53,53
pseudodif,ADP,120,0,38,5,41
tlmt,DET,92,38,38,44,44
ornian,CONJ,87,25,38,28,37
yourist,PRON,38,0,38,0,32
daytobegin,ADP,38,0,38,0,32
secmon,ADP,59,0,38,2,40
gunshot,DET,283,37,37,65,66
additiona,DET,220,37,37,60,60
agiinst,ADP,123,36,37,44,45
medicredit,PRON,119,0,37,2,42
tfte,DET,64,37,37,35,35
vesper,ADP,84,37,37,31,32
amountispaidonsome,DET,37,0,37,0,31
gyrof,ADP,56,0,37,5,31
anddrinkingplaces,CONJ,69,0,37,1,37
amountispaldon,ADP,37,0,37,0,30
thet,PRT,248,35,36,48,49
initials,ADP,193,35,36,53,54
sailor,ADP,188,34,36,43,44
nuda,DET,175,35,36,49,49
agnt,DET,165,0,36,5,59
tierra,DET,159,34,36,51,51
liecause,ADP,141,35,36,42,43
nre,ADP,96,36,36,38,39
agaimt,ADP,72,36,36,34,34
outsig,ADP,91,0,36,2,40
estoni,PRON,44,0,36,1,31
ifsmtf,ADP,36,0,36,0,30
orprescribe,ADP,45,0,36,1,28
itar-tass-,PRON,48,0,36,1,34
tlae,DET,205,35,35,37,37
thll,DET,187,35,35,41,42
isee,PRON,107,35,35,34,34
ajsr,ADP,78,0,35,2,35
thermodn,DET,83,0,35,5,34
kelandor,ADP,35,0,35,0,29
iphoto,PRON,43,0,35,2,30
