lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
itcan,PRON,258,13,13,18,18
atrick,ADP,243,12,13,21,22
aba,DET,192,13,13,32,32
unoer,ADP,165,12,13,24,24
throuch,DET,153,13,13,19,20
overnemen,ADP,149,0,13,6,35
lnher,ADP,130,0,13,4,31
inthese,ADP,128,13,13,22,22
allegedlv,DET,109,0,13,6,18
truo,DET,105,13,13,22,23
anjl,DET,28,13,13,14,14
wiere,ADP,29,13,13,13,13
anotl,DET,46,13,13,15,15
ijor,ADP,63,13,13,18,18
thetn,PRT,45,13,13,16,16
annonae,DET,69,13,13,19,19
hia,DET,43,13,13,15,15
acioss,ADP,42,13,13,14,14
llere,ADP,61,13,13,21,21
oneo,ADP,25,13,13,11,12
tioner,ADP,51,13,13,16,16
payof,ADP,22,13,13,12,12
oice,ADP,75,13,13,16,17
tiiey,PRON,27,13,13,13,13
upoii,ADP,73,13,13,22,23
ayainst,ADP,47,13,13,19,19
tvhich,DET,43,13,13,15,16
tuat,ADP,78,13,13,19,20
bjf,ADP,41,13,13,13,13
iei,ADP,71,13,13,17,18
tetween,ADP,51,13,13,15,16
noti,DET,44,13,13,15,15
atrainst,ADP,45,13,13,14,14
iiu,PRON,33,13,13,12,12
ihee,PRON,35,13,13,13,13
lind,CONJ,35,13,13,13,13
singleness,ADP,79,13,13,17,18
tfi,PRT,37,13,13,14,14
eamest,PRON,53,13,13,18,18
ief,PRT,34,12,13,12,12
thenne,DET,65,12,13,16,16
tfiem,PRON,28,12,13,12,12
bsfore,ADP,42,12,13,16,17
ofll,ADP,70,12,13,15,15
thjs,ADP,27,12,13,13,13
whilt,ADP,33,12,13,13,13
thankyou,PRON,1308,12,12,112,113
foorth,PRT,464,12,12,25,25
largerthan,ADP,299,12,12,34,35
moder,PRT,228,11,12,41,41
tosto,PRT,158,12,12,21,21
protagoras,ADP,140,11,12,23,24
toreduce,PRT,137,12,12,23,23
whereasin,ADP,129,12,12,26,26
todilto,PRT,116,0,12,10,24
thenke,DET,115,11,12,18,19
fctywkr,ADP,106,0,12,4,27
withih,ADP,105,12,12,18,18
lke,ADP,104,11,12,23,24
antf,ADP,33,12,12,14,14
iip,PRT,34,12,12,14,14
thert,PRON,38,12,12,14,14
thogh,DET,91,12,12,17,17
includiug,ADP,92,12,12,21,22
betneen,ADP,93,11,12,20,20
dss,ADP,93,12,12,19,19
forbiddin,ADP,76,11,12,18,18
mediacast,PRON,86,0,12,2,33
befote,ADP,694,11,11,36,36
intraspecif,ADP,395,0,11,31,84
sirst,ADP,310,11,11,19,20
til,PRON,304,10,11,32,32
octahedron,ADP,296,9,11,42,44
auquel,DET,194,11,11,15,15
bede,ADP,179,11,11,18,18
icu,ADP,173,10,11,24,25
xviith,ADP,155,10,11,22,22
oflreland,CONJ,149,11,11,22,23
uiith,ADP,137,11,11,27,27
lnteger,ADP,124,0,11,5,24
rwith,ADP,110,11,11,18,18
anative,DET,109,11,11,18,18
delirium,PRON,108,11,11,17,18
vl,ADP,96,11,11,20,20
tne,DET,82,10,11,19,19
yonrself,PRON,401,10,10,25,25
mein,CONJ,347,10,10,21,21
dehumidif,ADP,245,0,10,17,45
alguna,DET,225,10,10,24,24
quella,DET,211,10,10,20,21
thenoe,PRON,198,10,10,16,17
var,PRON,197,9,10,26,27
forrn,ADP,185,10,10,31,31
theratio,DET,179,10,10,33,34
onus,PRT,176,10,10,33,33
subtract,PRON,161,8,10,28,29
attndt,ADP,136,0,10,3,29
ancillae,DET,125,10,10,18,18
primestar,ADP,121,0,10,3,31
itty,ADP,109,10,10,15,15
determiningthe,DET,106,9,10,15,16
tito,DET,104,10,10,14,14
lnfonnation,ADP,99,0,10,8,30
omi,ADP,99,10,10,16,16
handkerchief,PRT,99,10,10,14,14
iournalfor,ADP,99,0,10,2,24
nndcr,ADP,95,10,10,25,25
himbelf,PRON,84,10,10,24,25
widt,ADP,81,10,10,20,20
bttt,ADP,92,10,10,19,19
obli,PRT,50,10,10,18,18
fficer,ADP,60,10,10,18,18
ofsin,ADP,636,9,9,31,31
ifan,ADP,416,9,9,35,36
togetherto,PRT,390,8,9,36,37
theirjoint,DET,204,8,9,16,17
jot,CONJ,171,8,9,21,22
siuce,ADP,148,9,9,28,28
passand,CONJ,146,9,9,21,21
than,ADP,146,8,9,15,15
thonsand,CONJ,131,9,9,21,21
againstan,DET,124,9,9,18,18
thrs,PRON,119,9,9,20,20
formost,ADP,115,9,9,20,20
orderand,CONJ,114,9,9,18,18
ske,ADP,98,9,9,15,15
pi,ADP,93,9,9,21,21
offlmerica,ADP,62,0,9,1,26
itit,PRON,617,8,8,24,25
bora,DET,540,7,8,34,34
readyfor,ADP,279,8,8,19,19
thara,DET,248,8,8,22,22
sx,ADP,220,7,8,24,24
wythyn,ADP,217,8,8,15,15
itfrom,ADP,207,8,8,17,17
longerthan,ADP,203,8,8,22,22
operculo,ADP,193,8,8,23,23
allorisma,DET,180,4,8,12,17
thraugh,ADP,168,7,8,17,17
himselfon,PRT,158,8,8,14,15
namin,ADP,153,8,8,10,10
iidem,PRON,143,8,8,12,12
laticonus,CONJ,140,0,8,4,27
anovel,DET,133,8,8,17,17
thebaica,DET,81,8,8,19,19
lmn,ADP,78,8,8,18,18
productinfo,ADP,94,0,8,2,28
irself,PRON,705,7,7,34,34
foryour,ADP,465,7,7,35,36
en,ADP,353,7,7,50,50
andava,DET,290,7,7,12,12
withno,ADP,244,7,7,18,18
perder,ADP,243,6,7,23,24
whereuppon,ADP,177,7,7,15,15
fjor,ADP,174,7,7,21,21
tiae,DET,141,7,7,20,20
onboth,ADP,141,7,7,17,18
andour,DET,139,7,7,13,13
these,DET,139,6,7,11,11
unfashionable,PRT,130,7,7,25,25
tormento,PRT,123,7,7,14,14
interlata,DET,122,0,7,3,28
allthis,DET,119,7,7,13,13
thereisa,DET,119,7,7,15,15
increasingthe,DET,111,7,7,13,14
phosphof,ADP,100,0,7,7,27
latif,ADP,98,7,7,18,18
aq,ADP,1187,6,6,73,73
ofhimself,PRON,443,6,6,21,22
hij,PRT,327,6,6,9,9
ahstract,DET,241,5,6,17,17
bthat,ADP,238,6,6,15,15
ofground,ADP,226,6,6,18,18
herfor,ADP,208,6,6,16,16
dependenton,ADP,179,6,6,23,23
lncludin,ADP,177,4,6,14,18
heighten,PRT,154,6,6,29,29
urkat,ADP,152,0,6,4,26
theusand,CONJ,149,6,6,21,21
umil,ADP,143,6,6,10,11
forgiveness,PRON,142,6,6,15,15
annosa,DET,128,6,6,14,14
arif,ADP,127,6,6,20,20
vvhile,ADP,123,6,6,20,20
naics,ADP,117,0,6,2,32
oflen,ADP,113,6,6,13,14
sinf,ADP,105,6,6,12,13
overheard,PRT,101,6,6,14,14
lnteravia,ADP,99,0,6,4,21
amongr,ADP,94,6,6,19,19
ofcivil,ADP,448,5,5,28,28
homey,PRON,393,5,5,35,35
whenyou,PRON,278,5,5,26,26
himselfup,PRT,271,4,5,13,13
tlre,ADP,256,5,5,12,12
ismore,ADP,239,4,5,11,12
anzi,DET,218,5,5,12,13
donefor,ADP,186,5,5,12,12
theself,PRON,168,5,5,17,17
offertile,ADP,158,5,5,24,24
indentif,ADP,141,0,5,11,26
oftwelve,ADP,135,5,5,10,11
tras,ADP,134,5,5,10,10
farfrom,ADP,131,5,5,11,11
fellon,ADP,112,5,5,13,13
demandfor,ADP,104,5,5,13,13
objapp,PRT,102,0,5,2,27
tnto,PRT,101,5,5,11,11
medit,PRON,97,5,5,14,14
withus,ADP,97,5,5,11,11
andb,DET,97,5,5,12,12
fofr,ADP,2557,4,4,67,67
nonemployer,CONJ,1999,0,4,50,352
allata,DET,301,4,4,50,50
technet,DET,291,0,4,9,34
anodier,DET,280,3,4,25,25
waitfor,ADP,256,4,4,19,19
ofgeneral,ADP,229,4,4,15,16
luorosulf,ADP,217,0,4,8,43
byfaith,ADP,216,4,4,12,12
absorpt,ADP,193,4,4,18,18
lifefor,ADP,190,4,4,11,11
obv,ADP,151,4,4,13,13
lnterborough,ADP,140,1,4,9,18
respectfor,ADP,135,4,4,11,11
accountedfor,ADP,129,4,4,14,14
ofsuperior,ADP,125,4,4,8,9
uhose,ADP,123,3,4,13,13
annther,DET,115,4,4,8,9
quhile,ADP,114,4,4,7,7
sofr,DET,109,0,4,4,19
andcould,CONJ,102,4,4,8,8
offuture,ADP,441,3,3,28,28
offalse,ADP,338,3,3,19,19
sce,ADP,298,3,3,16,17
someofthe,DET,242,3,3,21,21
yadernaya,DET,202,0,3,5,25
angolanus,CONJ,201,0,3,6,12
downon,ADP,160,2,3,9,10
sohe,DET,155,3,3,10,10
inorderto,PRT,148,3,3,12,12
thefire,DET,137,3,3,10,10
thereafler,DET,113,3,3,11,12
hatthe,DET,107,3,3,6,6
fairpoint,PRON,105,0,3,2,29
lndrajit,ADP,101,0,3,3,18
thampton,ADP,100,3,3,6,6
thegame,DET,98,3,3,9,9
anobject,DET,233,2,2,19,19
thailano,DET,182,0,2,4,30
affa,DET,176,2,2,21,22
theraov,DET,158,0,2,4,18
thispaperwe,DET,128,0,2,3,16
lndude,ADP,102,0,2,2,20
theaterweek,DET,251,0,1,7,57
institutionallv,ADP,144,0,0,3,40
